model,mode,best_val_acc,best_val_loss,best_epoch,train_acc,train_loss
exp1,basic,0.6315789222717285,42.5130500793457,30,0.8684210777282715,19.75153160095215
exp2,basic,0.1578947305679321,89.96062469482422,4,0.1052631586790084,2.7663466930389404
exp3,basic,0.0526315793395042,2.944443941116333,1,0.039473682641983,2.9445595741271973
exp4,basic,0.1578947305679321,40.20378112792969,5,0.1052631586790084,4.862542152404785
exp5,basic,0.1578947305679321,134.5425567626953,3,0.1052631586790084,2.7817275524139404
exp6,basic,0.1315789520740509,43.2433967590332,2,0.0986842140555381,2.8059771060943604
exp7,basic,0.2631579041481018,115.4908218383789,6,0.1842105239629745,2.511036872863769
exp8,basic,0.9473684430122375,0.2917463481426239,32,0.9473684430122375,0.0935152322053909
exp9,basic,0.9736841917037964,0.2306034415960312,41,0.8092105388641357,0.4679173827171325
exp1,aug,0.5526315569877625,59.728057861328125,22,0.6644737124443054,26.777145385742188
exp2,aug,0.1842105239629745,2.584946393966675,22,0.1578947305679321,2.563692092895508
exp3,aug,0.0526315793395042,5.246709823608398,1,0.0328947380185127,2.944567918777466
exp4,aug,0.2105263173580169,17.436630249023438,15,0.1052631586790084,4.762348651885986
exp5,aug,0.2105263173580169,117.46765899658205,4,0.1513157933950424,2.638406991958618
exp6,aug,0.1842105239629745,19.02374839782715,5,0.1052631586790084,2.7526636123657227
exp7,aug,0.3157894611358642,17.847322463989258,9,0.25,2.281779766082764
exp8,aug,0.9473684430122375,0.2190053611993789,43,0.9605262875556946,0.1028405055403709
exp9,aug,0.9736841917037964,0.31500062346458435,25,0.9407894611358643,0.24252615869045258
